"module name", "license", "repository", "version"
"@restart/context", "MIT", "https://github.com/react-restart/context", 2.1.4
"@restart/hooks", "MIT", "https://github.com/jquense/react-common-hooks", 0.3.22
"@svgr/babel-plugin-add-jsx-attribute", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-add-jsx-attribute", 4.2.0
"@svgr/babel-plugin-remove-jsx-empty-expression", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-remove-jsx-empty-expression", 4.2.0
"@svgr/babel-plugin-remove-jsx-attribute", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-remove-jsx-attribute", 4.2.0
"@svgr/babel-plugin-replace-jsx-attribute-value", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-replace-jsx-attribute-value", 4.2.0
"@svgr/babel-plugin-svg-dynamic-title", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-svg-dynamic-title", 4.3.3
"@svgr/babel-plugin-svg-em-dimensions", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-svg-em-dimensions", 4.2.0
"@svgr/babel-plugin-transform-react-native-svg", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-transform-react-native-svg", 4.2.0
"@svgr/babel-plugin-transform-svg-component", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-plugin-transform-svg-component", 4.2.0
"@svgr/babel-preset", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/babel-preset", 4.3.3
"@svgr/core", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/core", 4.3.3
"@svgr/hast-util-to-babel-ast", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/hast-util-to-babel-ast", 4.3.2
"@svgr/plugin-jsx", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/plugin-jsx", 4.3.3
"@types/babel__core", "MIT", "https://github.com/DefinitelyTyped/DefinitelyTyped", 7.1.7
"@svgr/plugin-svgo", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/plugin-svgo", 4.3.1
"@typescript-eslint/eslint-plugin", "MIT", "https://github.com/typescript-eslint/typescript-eslint", 7.6.1 & 7.0.2 & 7.0.10 & 1.1.1 & 1.0.0 & 3.0.0 & 7.1.1 & 2.0.1 & 3.0.0 & 1.1.1 & 7.0.4 & 3.0.3 & 13.13.0 & 4.0.0 & 15.7.3 & 1.5.2 & 16.9.34 & 1.0.1 & 15.0.0 & 13.0.8
"@svgr/webpack", "MIT", "https://github.com/smooth-code/svgr/tree/master/packages/webpack", 4.3.3
"@webassemblyjs/ast", "MIT", "https://github.com/xtuc/webassemblyjs", 2.28.0 & 2.28.0 & 2.28.0
"@webassemblyjs/helper-buffer", "MIT", "https://github.com/xtuc/webassemblyjs", 1.8.5
"@webassemblyjs/helper-api-error", "MIT", "", 1.8.5
"@webassemblyjs/helper-fsm", "ISC", "", 1.8.5
"@webassemblyjs/helper-module-context", "MIT", "https://github.com/xtuc/webassemblyjs", 1.8.5
"@webassemblyjs/ieee754", "MIT", "", 1.8.5 & 1.8.5
"@webassemblyjs/utf8", "MIT", "https://github.com/xtuc/webassemblyjs", 1.8.5
"@xtuc/ieee754", "BSD-3-Clause", "https://github.com/feross/ieee754", 1.8.5 & 1.8.5 & 1.8.5 & 1.8.5 & 1.8.5 & 1.8.5
"@xtuc/long", "Apache-2.0", "https://github.com/dcodeIO/long.js", 4.2.2
"abbrev", "ISC", "https://github.com/isaacs/abbrev-js", 1.1.1
"accepts", "MIT", "https://github.com/jshttp/accepts", 1.3.7
"abab", "BSD-3-Clause", "https://github.com/jsdom/abab", 2.0.3
